,date,country,traveler_type,review,rating,scrape_date,sentiment_score,categories
0,2021-12-01 00:00:00,Suisse,Famille,La situation géographique est parfaite. Le personnel aimable et très accueillant. Excellent rapport qualité prix. Hôtel à recommander.,100.0,2024-03-15 22:46:38.925604,0.9,"{'location': 1.0, 'staff': 0.95, 'value for money': 0.9, 'hotel overall': 0.85}"
1,2024-03-01 00:00:00,France,Couple,Etablissement proppre et très bien situé!,80.0,2024-03-15 22:46:38.925604,0.9,"{'Cleanliness': 0.95, 'Location': 0.85}"
2,2024-03-01 00:00:00,Maroc,Voyageur individuel,Proximité La chambre,70.0,2024-03-15 22:46:38.925604,0.7,"{'Proximity': 0.75, 'Room': 0.65}"
3,2024-03-01 00:00:00,Suisse,Voyageur individuel,". Emplacement top
. Chambre correcte mais vieillotte . Choix déjeuner un peu limité",80.0,2024-03-15 22:46:38.925604,0.65,"{'Location': 1.0, 'Room': 0.5, 'Breakfast': 0.5}"
4,2024-03-01 00:00:00,Espagne,Voyageur individuel,C’est très bien situé et très correct question qualité/prix,80.0,2024-03-15 22:46:38.925604,0.85,"{'location': 0.9, 'value for money': 0.8}"
5,2024-02-01 00:00:00,France,Voyageur individuel,Ensemble correct Parking assez cher malgré la réduction,70.0,2024-03-15 22:46:38.925604,0.45,"{'Parking': 0.3, 'Price': 0.4, 'Overall': 0.45}"
6,2024-02-01 00:00:00,Algérie,Couple,"L'emplacement était top, proche de la gare de train et de la station de tram . Le personnel est à l'écoute. La salle de bain est minuscule.",80.0,2024-03-15 22:46:38.925604,0.7,"{'location': 0.9, 'staff': 0.8, 'bathroom': 0.4}"
7,2024-02-01 00:00:00,France,Couple,"L'hotel est très bien situé et à proximité de tout (transports, commerces, endroits phares de Genève) L'équipement dans les chambres. Peut-être y ajouter un micro-ondes.",80.0,2024-03-15 22:46:38.925604,0.85,"{'location': 0.95, 'proximity': 0.9, 'transportation': 0.85, 'shopping': 0.85, 'landmarks': 0.85, 'room equipment': 0.8, 'microwave': 0.7}"
8,2024-02-01 00:00:00,Suisse,Voyageur individuel,Hôtel très bien placé près de la gare mais calme. Chambre bien équipée et propre Chambre un peu vieillotte et odeur de fumée dans la soirée (via la ventilation je pense),80.0,2024-03-15 22:46:38.925604,0.65,"{'location': 0.85, 'quietness': 0.75, 'room equipment': 0.8, 'cleanliness': 0.8, 'room condition': 0.5, 'smell': 0.3}"
9,2024-02-01 00:00:00,Suisse,Voyageur individuel,"Très bonne réception, rapide,bon accueil.",70.0,2024-03-15 22:46:38.925604,0.9,"{'reception': 0.9, 'speed': 0.9, 'welcome': 0.9}"
10,2024-01-01 00:00:00,France,Voyageur individuel,emplacement pour un voyage par le train petit lavabo,80.0,2024-03-15 22:46:38.925604,0.65,"{'location': 0.8, 'travel': 0.7, 'cleanliness': 0.5}"
11,2024-02-01 00:00:00,Suisse,Voyageur individuel,"Chambre simple mais avec tout le confort que l'on peut attendre d'un 3 étoiles de ce prix
Bonne insonorisation phonique par rapport à l'extérieur, bruits de la ville imperceptibles
Lit confortable
Bon petit déjeuner
Très bien placé au centre
Personnel très sympathique qui m'a donné la possibilité de changer de chambre, la première étant communicante et mal isolée phoniquement de la chambre d'à côté Les chambres communicantes sont mal isolées les unes des autres et ne devraient être attribuées qu'à des clients qui voyagent ensemble",80.0,2024-03-15 22:46:38.925604,0.75,"{'room comfort': 0.7, 'soundproofing': 0.6, 'bed comfort': 0.8, 'breakfast': 0.8, 'location': 0.9, 'staff': 0.9, 'room change option': 0.8, 'interconnecting rooms': 0.4}"
12,2024-02-01 00:00:00,Suisse,Famille,"Accueil du personnel 
Presence d’une bouilloire dans la chambre 
Propreté",90.0,2024-03-15 22:46:38.925604,0.85,"{'staff hospitality': 0.9, 'room amenities': 0.8, 'cleanliness': 0.9}"
13,2024-02-01 00:00:00,Suisse,Voyageur individuel,"L’emplacement et le rapport qualité prix, génial pour Genève",90.0,2024-03-15 22:46:38.925604,0.85,"{'location': 0.9, 'value for money': 0.8}"
14,2023-12-01 00:00:00,Japon,Voyageur individuel,"C'est juste en face de la gare, donc c'est très pratique.
La gare routière longue distance se trouve également à quelques pas.
Il est également proche du lac, vous pourrez donc facilement vous promener. Quand j’avais besoin d’aller aux toilettes, je retournais à l’hôtel.
Les chambres sont propres. Le petit déjeuner était également délicieux. Je pense que je l'utiliserai à nouveau si j'ai l'occasion d'aller à Genève. Rien en particulier",80.0,2024-03-15 22:46:38.925604,0.85,"{'location': 0.9, 'cleanliness': 0.9, 'breakfast': 0.8, 'convenience': 0.9, 'revisit intention': 0.8}"
15,2024-02-01 00:00:00,Suisse,Voyageur individuel,"La situation est super 
Proche de la gare
Un accueil chaleureux 
Des conseils judicieux",90.0,2024-03-15 22:46:38.925604,0.85,"{'Location': 0.9, 'Proximity to transport': 0.85, 'Hospitality': 0.9, 'Advice': 0.8}"
16,2024-01-01 00:00:00,France,Groupe,"L'emplacement idéal proche de la gare et la disponibilité du personel L'insonorisation de la chambre est à améliorer, pour éviter d'entendre les voisins",70.0,2024-03-15 22:46:38.925604,0.65,"{'Location': 0.9, 'Staff Availability': 0.8, 'Room Soundproofing': 0.4}"
17,2024-01-01 00:00:00,France,Voyageur individuel,Situé près de la gare Prix relativement élevé,80.0,2024-03-15 22:46:38.925604,0.45,"{'location': 0.8, 'price': 0.1}"
18,2024-01-01 00:00:00,France,Famille,Bien situé. Propre.confortable. Rien,80.0,2024-03-15 22:46:38.925604,0.85,"{'Location': 1.0, 'Cleanliness': 1.0, 'Comfort': 1.0}"
19,2024-01-01 00:00:00,Suisse,Voyageur individuel,"Proximité de la gare Bruit : on entend la télé du voisin, ainsi que son téléphone.",70.0,2024-03-15 22:46:38.925604,0.25,"{'Location': 0.8, 'Noise': 0.1}"
20,2023-12-01 00:00:00,France,Voyageur individuel,Chambre petit et basic mais confortable. Emplacement près de la gare centrale et des transports parfait. Petit déjeuner bon. Au même prix on trouve des hôtels à Genève avec un ratio qualité prix supérieur - mais il faut réserver suffisamment tôt ...,80.0,2024-03-15 22:46:38.925604,0.65,"{'room': 0.6, 'location': 0.9, 'breakfast': 0.8, 'price': 0.5, 'booking': 0.7}"
21,2023-12-01 00:00:00,Suisse,Couple,"idéal près de la gare, jolie chambre, propre, lit très confortable, grande douche et une bouilloire; le personnel de la réception très serviable , rien ne manquait; le bruit la fenêtre ouverte (côté gare), mais pas grave, car l'hôtel est idéalement placé, central et pas loin du lac",80.0,2024-03-15 22:46:38.925604,0.85,"{'Location': 0.9, 'Room': 0.9, 'Cleanliness': 0.9, 'Bed Comfort': 0.95, 'Shower': 0.9, 'Amenities': 0.85, 'Staff': 0.95, 'Noise': 0.6}"
22,2023-12-01 00:00:00,Émirats arabes unis,Couple,"L'emplacement de l'hôtel ,l'accueil chaleureux  et la gentillesse des personnels . La TV..Pas assez de programme.",90.0,2024-03-15 22:46:38.925604,0.75,"{'location': 1.0, 'staff': 0.9, 'welcome': 0.8, 'TV': 0.5, 'program selection': 0.2}"
23,2023-12-01 00:00:00,France,Voyageur individuel,Hôtel très très bien placé (transports restaurent centre commercial) La circulation et la sortie de Genève pour la France... Très compliquée,80.0,2024-03-15 22:46:38.925604,0.85,"{'Location': 1.0, 'Transportation': 0.9, 'Restaurants': 0.9, 'Shopping': 0.9, 'Traffic': 0.6}"
24,2023-12-01 00:00:00,France,Groupe,"Accueil chaleureux, très bien placé à deux pas de la gare ! Service garde bagages bien pratique 😊 Le manque de produits de voyage tel un vanity set (cotons tiges…).",90.0,2024-03-15 22:46:38.925604,0.75,"{'welcome': 1.0, 'location': 1.0, 'luggage service': 1.0, 'travel products': 0.0}"
